1720	130	0.301785714
1721	130	0.301785714
1722	78	0.064285714
1723	220	0.573214286
1724	78	0.064285714
1725	79	0.071428571
1726	360	0.832142857
1727	132	0.319642857
1728	220	0.573214286
1729	281	0.683928571
1730	79	0.071428571
1731	279	0.6625
1732	220	0.573214286
1733	182	0.505357143
1734	131	0.310714286
1735	80	0.085714286
1736	221	0.583928571
1737	131	0.310714286
1738	286	0.694642857
1739	217	0.5625
1740	420	0.971428571
1741	115	0.241071429
1742	105	0.210714286
1743	90	0.151785714
1744	109	0.217857143
1745	310	0.726785714
1746	245	0.616071429
1747	400	0.917857143
1748	300	0.710714286
1749	317	0.733928571
1750	84	0.116071429
1751	380	0.873214286
1752	240	0.605357143
1753	110	0.228571429
1754	420	0.971428571
1755	330	0.780357143
1756	100	0.194642857
1757	381	0.883928571
1758	360	0.832142857
1759	100	0.194642857
1760	380	0.873214286
1761	146	0.355357143
1762	170	0.444642857
1763	124	0.258928571
1764	90	0.151785714
1765	180	0.485714286
1766	230	0.5875
1767	324	0.751785714
1768	320	0.742857143
1769	90	0.151785714
1770	360	0.832142857
1771	330	0.780357143
1772	344	0.8125
1773	100	0.194642857
1774	291	0.701785714
1775	281	0.683928571
1776	210	0.548214286
1777	240	0.605357143
1778	200	0.5375
1779	110	0.228571429
1780	289	0.698214286
1781	237	0.598214286
1782	300	0.710714286
1783	330	0.780357143
1784	380	0.873214286
1785	360	0.832142857
1786	380	0.873214286
1787	280	0.671428571
1788	320	0.742857143
1789	420	0.971428571
1790	70	0.039285714
1791	80	0.085714286
1792	260	0.639285714
1793	100	0.194642857
1794	100	0.194642857
1795	330	0.780357143
1796	156	0.4
1797	152	0.3875
1798	142	0.348214286
1799	420	0.971428571
1800	400	0.917857143
1801	136	0.330357143
1802	220	0.573214286
1803	400	0.917857143
1804	320	0.742857143
1805	400	0.917857143
1806	251	0.623214286
1807	140	0.341071429
1808	280	0.671428571
1809	420	0.971428571
1810	320	0.742857143
1811	220	0.573214286
1812	240	0.605357143
1813	300	0.710714286
1814	400	0.917857143
1815	160	0.416071429
1816	300	0.710714286
1817	90	0.151785714
1818	268	0.655357143
1819	80	0.085714286
1820	370	0.85
1821	260	0.639285714
1822	76	0.058928571
1823	180	0.485714286
1824	84	0.116071429
1825	96	0.180357143
1826	160	0.416071429
1827	250	0.619642857
1828	281	0.683928571
1829	380	0.873214286
1830	420	0.971428571
1831	328	0.7625
1832	105	0.210714286
1833	90	0.151785714
1834	233	0.591071429
1835	70	0.039285714
1836	395	0.898214286
1837	172	0.45
1838	420	0.971428571
1839	330	0.780357143
1840	362	0.844642857
1841	377	0.8625
1842	80	0.085714286
1843	90	0.151785714
1844	383	0.891071429
1845	396	0.903571429
1846	180	0.485714286
1847	280	0.671428571
1848	130	0.301785714
1849	132	0.319642857
1850	330	0.780357143
1851	180	0.485714286
1852	173	0.455357143
1853	305	0.723214286
1854	127	0.283928571
1855	304	0.719642857
1856	410	0.933928571
1857	215	0.557142857
1858	90	0.151785714
1859	80	0.085714286
1860	180	0.485714286
1861	315	0.730357143
1862	337	0.801785714
1863	90	0.151785714
1864	80	0.085714286
1865	360	0.832142857
1866	104	0.205357143
1867	420	0.971428571
1868	412	0.939285714
1869	132	0.319642857
1870	178	0.469642857
1871	420	0.971428571
1872	126	0.273214286
1873	90	0.151785714
1874	88	0.126785714
1875	340	0.808928571
1876	412	0.939285714
1877	420	0.971428571
1878	72	0.048214286
1879	140	0.341071429
1880	125	0.264285714
1881	420	0.971428571
1882	81	0.103571429
1883	337	0.801785714
1884	127	0.283928571
1885	167	0.4375
1886	198	0.533928571
1887	74	0.053571429
1888	420	0.971428571
1889	327	0.758928571
1890	81	0.103571429
1891	126	0.273214286
1892	252	0.626785714
1893	420	0.971428571
1894	81	0.103571429
1895	282	0.691071429
1896	143	0.351785714
1897	180	0.485714286
1898	140	0.341071429
1899	183	0.5125
1900	330	0.780357143
1901	180	0.485714286
1902	360	0.832142857
1903	92	0.173214286
1904	176	0.466071429
1905	134	0.326785714
1906	85	0.123214286
1907	139	0.333928571
1908	235	0.594642857
1909	181	0.501785714
1910	81	0.103571429
1911	110	0.228571429
1912	161	0.426785714
1913	118	0.248214286
1914	127	0.283928571
1915	183	0.5125
1916	330	0.780357143
1917	400	0.917857143
1918	161	0.426785714
1919	150	0.378571429
1920	151	0.383928571
1921	125	0.264285714
1922	260	0.639285714
1923	330	0.780357143
1924	280	0.671428571
1925	89	0.130357143
1926	382	0.8875
1927	126	0.273214286
1928	172	0.45
1929	390	0.894642857
1930	58	0.008928571
1931	175	0.460714286
1932	148	0.3625
1933	148	0.3625
1934	110	0.228571429
1935	90	0.151785714
1936	148	0.3625
1937	161	0.426785714
1938	70	0.039285714
1939	61	0.0125
1940	420	0.971428571
1941	371	0.855357143
1942	420	0.971428571
1943	84	0.116071429
1944	64	0.019642857
1945	109	0.217857143
1946	215	0.557142857
1947	420	0.971428571
1948	201	0.541071429
1949	62	0.016071429
1950	113	0.2375
1951	149	0.371428571
1952	120	0.251785714
1953	153	0.392857143
1954	272	0.658928571
1955	156	0.4
1956	396	0.903571429
1957	169	0.441071429
1958	196	0.530357143
1959	90	0.151785714
1960	241	0.6125
1961	53	0.005357143
1962	160	0.416071429
1963	355	0.817857143
1964	150	0.378571429
1965	153	0.392857143
1966	374	0.858928571
1967	183	0.5125
1968	214	0.551785714
1969	265	0.651785714
1970	370	0.85
1971	157	0.407142857
1972	180	0.485714286
1973	99	0.183928571
1974	94	0.176785714
1975	74	0.053571429
1976	164	0.433928571
